Alive Check — starting...
  Pending: 5220 sites

  3465/5220 (66.4%) | alive=2888 dead=577 | 1849.8s | ETA 937s
  3480/5220 (66.7%) | alive=2901 dead=579 | 1852.9s | ETA 926s
  3495/5220 (67.0%) | alive=2912 dead=583 | 1855.6s | ETA 916s
  3510/5220 (67.2%) | alive=2925 dead=585 | 1865.0s | ETA 909s
  3525/5220 (67.5%) | alive=2935 dead=590 | 1869.7s | ETA 899s
  3540/5220 (67.8%) | alive=2947 dead=593 | 1873.9s | ETA 889s
  3555/5220 (68.1%) | alive=2959 dead=596 | 1876.4s | ETA 879s
  3570/5220 (68.4%) | alive=2969 dead=601 | 1885.1s | ETA 871s
  3585/5220 (68.7%) | alive=2981 dead=604 | 1888.8s | ETA 861s
  3600/5220 (69.0%) | alive=2994 dead=606 | 1893.1s | ETA 852s
  3615/5220 (69.3%) | alive=3004 dead=611 | 1909.1s | ETA 848s
  3630/5220 (69.5%) | alive=3017 dead=613 | 1925.1s | ETA 843s
  3645/5220 (69.8%) | alive=3030 dead=615 | 1928.9s | ETA 833s
  3660/5220 (70.1%) | alive=3040 dead=620 | 1944.9s | ETA 829s
  3675/5220 (70.4%) | alive=3054 dead=621 | 1960.9s | ETA 824s
  3690/5220 (70.7%) | alive=3062 dead=628 | 1977.0s | ETA 820s
  3705/5220 (71.0%) | alive=3074 dead=631 | 1993.0s | ETA 815s
  3720/5220 (71.3%) | alive=3087 dead=633 | 1995.7s | ETA 805s
  3735/5220 (71.6%) | alive=3100 dead=635 | 1998.9s | ETA 795s
  3750/5220 (71.8%) | alive=3112 dead=638 | 2003.5s | ETA 785s
  3765/5220 (72.1%) | alive=3126 dead=639 | 2006.9s | ETA 776s
  3780/5220 (72.4%) | alive=3136 dead=644 | 2013.3s | ETA 767s
  3795/5220 (72.7%) | alive=3146 dead=649 | 2015.8s | ETA 757s
  3810/5220 (73.0%) | alive=3156 dead=654 | 2031.9s | ETA 752s
  3825/5220 (73.3%) | alive=3167 dead=658 | 2047.9s | ETA 747s
  3840/5220 (73.6%) | alive=3179 dead=661 | 2063.9s | ETA 742s
  3855/5220 (73.9%) | alive=3190 dead=665 | 2079.9s | ETA 736s
  3870/5220 (74.1%) | alive=3201 dead=669 | 2089.3s | ETA 729s
  3885/5220 (74.4%) | alive=3213 dead=672 | 2105.3s | ETA 723s
  3900/5220 (74.7%) | alive=3221 dead=679 | 2121.3s | ETA 718s
  3915/5220 (75.0%) | alive=3229 dead=686 | 2124.3s | ETA 708s
  3930/5220 (75.3%) | alive=3238 dead=692 | 2140.3s | ETA 703s
  3945/5220 (75.6%) | alive=3249 dead=696 | 2156.3s | ETA 697s
  3960/5220 (75.9%) | alive=3262 dead=698 | 2162.8s | ETA 688s
  3975/5220 (76.1%) | alive=3270 dead=705 | 2168.3s | ETA 679s
  3990/5220 (76.4%) | alive=3281 dead=709 | 2184.4s | ETA 673s
  4005/5220 (76.7%) | alive=3293 dead=712 | 2187.9s | ETA 664s
  4020/5220 (77.0%) | alive=3306 dead=714 | 2192.4s | ETA 654s
  4035/5220 (77.3%) | alive=3317 dead=718 | 2208.4s | ETA 649s
  4050/5220 (77.6%) | alive=3327 dead=723 | 2224.4s | ETA 643s
  4065/5220 (77.9%) | alive=3338 dead=727 | 2226.7s | ETA 633s
  4080/5220 (78.2%) | alive=3349 dead=731 | 2232.0s | ETA 624s
  4095/5220 (78.4%) | alive=3360 dead=735 | 2248.0s | ETA 618s
  4110/5220 (78.7%) | alive=3368 dead=742 | 2264.0s | ETA 611s
  4125/5220 (79.0%) | alive=3378 dead=747 | 2280.1s | ETA 605s
  4140/5220 (79.3%) | alive=3386 dead=754 | 2285.3s | ETA 596s
  4155/5220 (79.6%) | alive=3396 dead=759 | 2301.3s | ETA 590s
  4170/5220 (79.9%) | alive=3402 dead=768 | 2317.4s | ETA 584s
  4185/5220 (80.2%) | alive=3413 dead=772 | 2333.4s | ETA 577s
  4200/5220 (80.5%) | alive=3426 dead=774 | 2336.3s | ETA 567s
  4215/5220 (80.7%) | alive=3434 dead=781 | 2344.2s | ETA 559s
  4230/5220 (81.0%) | alive=3442 dead=788 | 2360.3s | ETA 552s
  4245/5220 (81.3%) | alive=3452 dead=793 | 2363.0s | ETA 543s
  4260/5220 (81.6%) | alive=3463 dead=797 | 2379.0s | ETA 536s
  4275/5220 (81.9%) | alive=3474 dead=801 | 2395.0s | ETA 529s
  4290/5220 (82.2%) | alive=3481 dead=809 | 2411.0s | ETA 523s
  4305/5220 (82.5%) | alive=3493 dead=812 | 2413.6s | ETA 513s
  4320/5220 (82.8%) | alive=3503 dead=817 | 2429.6s | ETA 506s
  4335/5220 (83.0%) | alive=3512 dead=823 | 2435.2s | ETA 497s
  4350/5220 (83.3%) | alive=3520 dead=830 | 2438.7s | ETA 488s
  4365/5220 (83.6%) | alive=3528 dead=837 | 2454.7s | ETA 481s
  4380/5220 (83.9%) | alive=3537 dead=843 | 2470.7s | ETA 474s
  4395/5220 (84.2%) | alive=3544 dead=851 | 2473.5s | ETA 464s
  4410/5220 (84.5%) | alive=3553 dead=857 | 2489.5s | ETA 457s
  4425/5220 (84.8%) | alive=3562 dead=863 | 2505.5s | ETA 450s
  4440/5220 (85.1%) | alive=3574 dead=866 | 2509.0s | ETA 441s
  4455/5220 (85.3%) | alive=3586 dead=869 | 2525.0s | ETA 434s
  4470/5220 (85.6%) | alive=3593 dead=877 | 2541.1s | ETA 426s
  4485/5220 (85.9%) | alive=3600 dead=885 | 2557.1s | ETA 419s
  4500/5220 (86.2%) | alive=3606 dead=894 | 2573.1s | ETA 412s
  4515/5220 (86.5%) | alive=3617 dead=898 | 2589.1s | ETA 404s
  4530/5220 (86.8%) | alive=3624 dead=906 | 2605.1s | ETA 397s
  4545/5220 (87.1%) | alive=3636 dead=909 | 2614.5s | ETA 388s
  4560/5220 (87.4%) | alive=3643 dead=917 | 2618.1s | ETA 379s
  4575/5220 (87.6%) | alive=3654 dead=921 | 2634.2s | ETA 371s
  4590/5220 (87.9%) | alive=3665 dead=925 | 2650.2s | ETA 364s
  4605/5220 (88.2%) | alive=3676 dead=929 | 2653.4s | ETA 354s
  4620/5220 (88.5%) | alive=3687 dead=933 | 2669.4s | ETA 347s
  4635/5220 (88.8%) | alive=3694 dead=941 | 2685.4s | ETA 339s
  4650/5220 (89.1%) | alive=3705 dead=945 | 2701.5s | ETA 331s
  4665/5220 (89.4%) | alive=3716 dead=949 | 2717.5s | ETA 323s
  4680/5220 (89.7%) | alive=3726 dead=954 | 2733.5s | ETA 315s
  4695/5220 (89.9%) | alive=3737 dead=958 | 2736.6s | ETA 306s
  4710/5220 (90.2%) | alive=3748 dead=962 | 2739.7s | ETA 297s
  4725/5220 (90.5%) | alive=3759 dead=966 | 2755.7s | ETA 289s
  4740/5220 (90.8%) | alive=3772 dead=968 | 2758.4s | ETA 279s
  4755/5220 (91.1%) | alive=3780 dead=975 | 2769.6s | ETA 271s
  4770/5220 (91.4%) | alive=3793 dead=977 | 2785.6s | ETA 263s
  4785/5220 (91.7%) | alive=3804 dead=981 | 2801.6s | ETA 255s
  4800/5220 (92.0%) | alive=3815 dead=985 | 2817.6s | ETA 247s
  4815/5220 (92.2%) | alive=3825 dead=990 | 2820.5s | ETA 237s
  4830/5220 (92.5%) | alive=3837 dead=993 | 2824.9s | ETA 228s
  4845/5220 (92.8%) | alive=3848 dead=997 | 2840.9s | ETA 220s
  4860/5220 (93.1%) | alive=3858 dead=1002 | 2856.9s | ETA 212s
  4875/5220 (93.4%) | alive=3866 dead=1009 | 2872.9s | ETA 203s
  4890/5220 (93.7%) | alive=3877 dead=1013 | 2889.0s | ETA 195s
  4905/5220 (94.0%) | alive=3890 dead=1015 | 2892.1s | ETA 186s
  4920/5220 (94.3%) | alive=3905 dead=1015 | 2897.0s | ETA 177s
  4935/5220 (94.5%) | alive=3920 dead=1015 | 2898.9s | ETA 167s
  4950/5220 (94.8%) | alive=3935 dead=1015 | 2901.2s | ETA 158s
  4965/5220 (95.1%) | alive=3949 dead=1016 | 2905.5s | ETA 149s
  4980/5220 (95.4%) | alive=3964 dead=1016 | 2908.3s | ETA 140s
  4995/5220 (95.7%) | alive=3977 dead=1018 | 2924.4s | ETA 132s
  5010/5220 (96.0%) | alive=3990 dead=1020 | 2927.1s | ETA 123s
  5025/5220 (96.3%) | alive=4004 dead=1021 | 2929.4s | ETA 114s
  5040/5220 (96.6%) | alive=4019 dead=1021 | 2931.6s | ETA 105s
  5055/5220 (96.8%) | alive=4031 dead=1024 | 2933.4s | ETA 96s
  5070/5220 (97.1%) | alive=4042 dead=1028 | 2949.5s | ETA 87s
  5085/5220 (97.4%) | alive=4057 dead=1028 | 2954.6s | ETA 78s
  5100/5220 (97.7%) | alive=4071 dead=1029 | 2956.8s | ETA 70s
  5115/5220 (98.0%) | alive=4084 dead=1031 | 2972.9s | ETA 61s
  5130/5220 (98.3%) | alive=4098 dead=1032 | 2975.1s | ETA 52s
  5145/5220 (98.6%) | alive=4112 dead=1033 | 2991.1s | ETA 44s
  5160/5220 (98.9%) | alive=4127 dead=1033 | 2992.6s | ETA 35s
  5175/5220 (99.1%) | alive=4142 dead=1033 | 2995.5s | ETA 26s
  5190/5220 (99.4%) | alive=4156 dead=1034 | 3011.5s | ETA 17s
  5205/5220 (99.7%) | alive=4169 dead=1036 | 3013.3s | ETA 9s
  5220/5220 (100.0%) | alive=4179 dead=1041 | 3015.0s | ETA 0s

Done in 3015.0s
Alive: 4179 | Dead: 1041
→ D:\pi\corpus\raw\alive-check.json
